Day	Temperature	Humidity	Wind	Precipitation
1	17	42	25	0
2	20	21	25	2.4
3	8.5	40	17	0
4	6.5	25	6	0
5	13	34	24	0
6	6	40	22	0.4
7	5.5	52	6	0
8	8.5	46	16	0
9	9.5	54	20	0
10	7	93	14	9
11	6.5	71	17	1
12	6	59	17	0
13	13	52	4	0
14	15.5	40	11	0
15	23	25	9	0
16	19	46	16	0
17	18	41	20	0
18	14.5	51	16	0
19	14.5	69	11	0
20	15.5	42	8	0
21	21	37	8	0
22	23	32	16	0
23	23	32	14	0
24	27	33	12	0
25	28	17	27	0
26	23.5	54	20	0
27	16	50	22	12.2
28	11.5	58	20	0
29	16	54	16	0
30	21.5	37	9	0
31	14	61	22	0.2
32	15	30	27	0
33	20	23	11	0
34	14	95	3	16.4
35	20	53	4	2.8
36	19.5	30	16	0
37	25.5	51	20	6
38	10	38	24	0
39	19	27	16	0
40	26	46	11	4.2
41	30	38	22	0
42	25.5	67	19	12.6
43	12	53	28	11.8
44	21	38	8	0
45	13	70	20	3.8
46	9	78	24	1.4
47	11	54	16	0
48	15.5	39	9	0
49	18	36	5	0
